NUMBER,MAG_AUTO,X_IMAGE,Y_IMAGE,CLASS_STAR,FLUX_RADIUS,RA_deg,Dec_deg,GAIA_RA,GAIA_Dec,GAIA_Rmag,Separation_arcsec
14571,20.526,8087.474,452.212,0.960,2.096,9.588,-33.670,9.588,-33.670,19.433,0.225
14581,19.847,15780.288,436.728,0.904,2.316,9.075,-33.670,9.075,-33.670,18.779,0.470
14724,20.257,6748.581,461.808,0.904,2.141,9.677,-33.669,9.678,-33.669,19.771,0.163
15056,17.376,10914.939,373.622,0.988,2.226,9.399,-33.674,9.400,-33.674,16.886,0.513
15243,19.352,4581.568,494.051,0.936,2.250,9.822,-33.667,9.822,-33.667,18.848,0.254
15359,17.664,14254.074,429.334,0.968,2.284,9.176,-33.671,9.177,-33.671,16.694,0.533
15528,20.645,13527.056,511.089,0.975,2.130,9.225,-33.666,9.225,-33.666,19.181,0.523
15665,20.155,2866.138,540.870,0.959,2.144,9.937,-33.664,9.937,-33.664,19.446,0.432
15926,20.425,13874.982,561.829,0.934,2.213,9.202,-33.663,9.202,-33.663,19.975,0.500
16024,19.208,10136.477,539.663,0.882,2.140,9.451,-33.665,9.451,-33.665,18.808,0.211
16101,20.020,16987.143,558.721,0.921,2.294,8.994,-33.663,8.994,-33.663,18.082,0.294
16152,21.084,13769.227,589.956,0.976,2.179,9.209,-33.662,9.209,-33.662,19.516,0.499
16517,20.705,9700.725,615.992,0.972,2.076,9.480,-33.661,9.480,-33.661,19.252,0.150
16562,13.715,13697.131,158.476,0.975,5.083,9.214,-33.686,9.214,-33.686,12.848,0.598
16563,15.489,11241.970,370.640,0.998,2.412,9.378,-33.674,9.378,-33.674,14.916,0.640
16736,20.639,8539.915,625.082,0.964,2.120,9.558,-33.660,9.558,-33.660,18.854,0.114
16829,20.393,13371.659,634.174,0.958,2.154,9.235,-33.659,9.236,-33.660,19.906,0.542
16934,21.004,4360.802,659.530,0.967,2.123,9.837,-33.658,9.837,-33.658,20.354,0.302
17158,16.291,13079.963,461.009,0.993,2.288,9.255,-33.669,9.255,-33.669,15.813,0.598
17268,19.055,13028.893,656.924,0.908,2.194,9.258,-33.658,9.258,-33.658,18.490,0.570
17291,20.887,15962.333,686.152,0.958,2.257,9.063,-33.656,9.063,-33.656,20.153,0.414
17335,17.962,14453.317,566.733,0.880,2.324,9.163,-33.663,9.163,-33.663,16.864,0.448
